,Unnamed: 0,cause,riverdistance,sealevel,severity,temp,humidity,wind_speed,pressure,class
0,0,Rain,1.65,571.91,1,21.05,95,5.18,1007,1
1,1,Rain,0,4824.79,1,8.35,86,0.65,1010,1
2,2,Clouds,5.5,87.45,2,30.12,75,1.62,1006,1
3,3,Clear,7,3.4,2,27.02,74,1.67,1009,1
4,4,Clouds,0.95,59.32,1,30.32,79,2.52,995,1
5,5,Rain,5.2,151.44,1,26.13,81,3.48,1005,1
6,6,Clouds,1.2,7.27,1,26.69,89,1.39,1008,1
7,7,Clouds,4.2,59.25,1,26.83,92,1.55,1001,1
8,8,Rain,4,154.51,1,23.35,94,1.79,1002,1
9,9,Clouds,2.9,185.62,1,26.05,92,5.03,1000,1
10,10,Smoke,5,22.45,1,24.12,89,0,1009,1
11,11,Clouds,11,699.66,1,22.76,87,5.35,1008,1
12,12,Rain,2.5,20.29,2,31.53,76,1.35,1000,1
13,13,Rain,30,119.08,1,29.73,79,1.79,998,1
14,14,Snow,0,5554.87,1,-14.02,92,1.73,1008,1
15,15,Rain,8.5,75.35,2,26.32,93,0.37,1002,1
16,16,Clouds,0.65,123.47,1,31.93,61,1.81,999,1
17,17,Rain,40,134.62,1,25.73,94,2.56,1002,1
18,18,Rain,1.7,153.1,1,29.35,83,2.83,1002,1
19,19,Clouds,6.6,65.59,1,20.6,94,1.11,1013,1
20,20,Rain,0.2,271.95,1,23.7,87,0.43,1012,1
21,21,Clouds,0.56,25.64,1,26.24,93,0.46,1009,1
22,22,Clouds,0.25,6.56,2,25.07,92,1.05,1013,1
23,23,Clouds,1.5,82.42,1,31.2,74,0.34,1000,1
24,24,Clouds,12,324.15,1,26.16,80,6.14,998,1
25,25,Rain,50,659.35,1,24.55,94,0.95,1000,1
26,26,Clouds,0.1,139.11,1,30.47,80,0.8,1000,1
27,27,Clear,6.5,203.34,1,34.79,29,2.71,1003,1
28,28,Clouds,6.7,44.38,1,26.12,95,1.96,1008,1
29,29,Clouds,19,608.34,1,34.81,35,4.63,1006,1
30,30,Clouds,8,89.65,1,27.49,89,0.42,1004,1
31,31,Rain,4,15.29,1,27.9,90,1.11,1001,1
32,32,Clouds,8,453.22,1,14.02,89,1.05,1012,1
33,33,Clouds,13.7,373.23,2,17.17,97,1.31,1016,1
34,34,Rain,3.3,11.82,1,23.33,92,2.56,1011,1
35,35,Clouds,11.7,170.57,1,27.83,82,1.67,1003,1
36,36,Rain,8.35,1010.95,1,27.22,78,1.19,1012,1
37,37,Clouds,6.1,289.66,1,24.36,83,5.12,1010,1
38,38,Clouds,0.001,23.57,1,27.43,72,2.92,1007,1
39,39,Clouds,3.1,326.77,1,36.89,39,0.96,1006,1
40,40,Rain,5.75,2007.48,1,16.66,95,0.31,1006,1
41,41,Rain,45,135.57,1,28.9,86,1.54,996,1
42,42,Clouds,0.12,762.3,1,21.9,87,1.14,1010,1
43,43,Rain,0.08,1151.55,1,17.64,98,0.05,1007,1
44,44,Clouds,3.3,300.76,1,40.93,23,1.79,1000,1
45,45,Clouds,22,1587.08,1,22.47,85,0.81,1003,1
46,46,Rain,55,468.04,1,31.79,46,2.06,1005,1
47,47,Drizzle,12.5,80.41,1,26.24,86,2.1,1009,1
48,48,Clouds,42,74.25,1,35.07,48,3.76,1002,1
49,49,Clouds,4.75,438.33,1,22.42,54,0.89,1012,1
50,50,Rain,12.1,68.79,1,25.68,94,0.22,1004,1
51,51,Clear,7.8,255.07,1,41.95,14,5.39,992,1
52,52,Rain,1.8,2789.92,1,11.69,95,0.82,1010,1
53,53,Rain,6.6,41.45,1,32.63,76,4.76,998,1
