,lat,long,dt_txt,temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
0,23.33,77.8,2020-03-25 05:30:00+05:30,24.12,59,1.99,6,Clear,1009,442.79,83.21444444,34.13209633,0.0
1,9.85,76.97,2020-10-19 05:30:00+05:30,20.85,93,0.73,90,Clouds,1010,675.11,75.53222222,2.236067977,0.0
2,26.47,80.35,2020-09-19 11:30:00+05:30,33.41,71,2.52,96,Rain,1003,129.65,27.4,9.899494937,0.0
3,26.85,80.9167,2021-01-26 11:30:00+05:30,13.78,62,2.37,4,Clear,1020,121.08,6.135555556,100.0,0.0
4,24.14,120.67,2020-08-08 02:30:00+05:30,27.05,82,1.0,75,Rain,1006,70.84,3.398888889,46.0,0.0
5,27.67,85.33,2020-10-15 23:30:00+05:30,19.08,88,1.5,20,Clouds,1016,1312.69,17.91888889,17.0,0.0
6,25.48,80.33,2020-12-02 08:30:00+05:30,11.77,80,0.0,0,Clear,1018,121.67,31.25666667,13.03840481,0.0
7,26.52,93.97,2020-09-15 20:30:00+05:30,27.12,92,0.8,100,Rain,1006,99.47,85.66777778,14.31782106,0.0
8,20.13,85.1,2020-07-25 23:30:00+05:30,27.95,93,1.51,57,Clouds,1008,151.11,90.37666667,37.65634077,0.0
9,30.7,76.86,2020-10-02 14:30:00+05:30,34.04,36,1.5,1,Clear,1004,340.95,42.44888889,33.30165161,0.0
10,32.37,75.52,2020-11-08 20:30:00+05:30,17.88,67,1.71,0,Clear,1019,319.74,64.59,28.60069929,0.0
11,13.0,76.1,2020-04-03 20:30:00+05:30,26.81,58,2.97,22,Clouds,1012,937.35,34.52333333,12.80624847,0.0
12,28.18,76.62,2020-01-31 23:30:00+05:30,12.17,82,1.64,0,Clear,1017,243.35,12.25666667,100.0,0.0
13,28.3,74.95,2020-11-16 08:30:00+05:30,15.8,95,1.0,90,Fog,1017,289.57,0.098888889,100.0,0.0
14,26.52,88.73,2020-05-05 08:30:00+05:30,29.59,63,0.0,32,Clouds,1009,80.0,20.85777778,7.211102551,0.0
15,11.93,79.48,2020-07-17 08:30:00+05:30,28.05,85,2.22,88,Rain,1006,46.21,76.41777778,8.544003745,0.0
16,22.7,71.6833,2021-02-18 05:30:00+05:30,17.38,63,1.99,0,Clear,1012,65.77,1.7,11.70469991,0.0
17,32.93,75.13,2020-10-21 20:30:00+05:30,15.66,65,0.19,1,Clear,1013,745.98,89.38222222,25.05992817,0.0
18,19.8,85.85,2020-10-29 14:30:00+05:30,31.44,49,2.1,20,Clouds,1009,0.0,35.76333333,0.0,0.0
19,23.4333,76.2667,2021-01-21 11:30:00+05:30,23.95,38,0.71,0,Clear,1016,442.47,68.28111111,30.8058436,0.0
20,9.49,76.3264,2021-01-14 20:30:00+05:30,27.1,83,0.92,95,Clouds,1009,5.66,38.68666667,7.071067812,0.0
21,22.3,74.35,2020-03-17 23:30:00+05:30,26.08,56,1.31,1,Clear,1013,293.08,0.032222222,100.0,0.0
22,25.33,83.0,2020-08-03 11:30:00+05:30,33.06,72,1.5,40,Haze,997,77.28,19.25444444,15.0,0.0
23,26.29,73.03,2020-10-14 20:30:00+05:30,26.83,32,0.0,58,Haze,1006,236.9,0.651111111,23.60084744,0.0
24,25.27,83.27,2020-07-28 08:30:00+05:30,29.33,88,3.4,100,Rain,1004,73.59,87.98333333,96.83491106,0.0
25,19.6,81.67,2020-07-23 08:30:00+05:30,23.12,97,2.97,100,Rain,1008,588.38,49.35888889,100.0,0.0
26,16.73,77.98,2020-04-19 14:30:00+05:30,35.5,42,1.74,43,Clouds,1009,492.33,17.76,9.219544457,0.0
27,26.38,92.34,2020-10-09 08:30:00+05:30,30.11,83,1.81,19,Clouds,1011,53.76,90.24444444,30.0,0.0
28,32.5667,76.1333,2021-01-19 14:30:00+05:30,8.28,54,0.6,12,Clouds,1016,981.72,89.12333333,31.144823,0.0
29,18.89,81.35,2020-05-19 02:30:00+05:30,26.71,71,1.34,100,Clouds,1000,360.83,86.71777778,100.0,0.0
30,14.68,77.6,2020-08-21 05:30:00+05:30,25.24,85,4.22,100,Clouds,1008,345.87,9.114444444,8.062257748,0.0
31,30.38,76.78,2020-04-12 02:30:00+05:30,22.59,68,1.5,97,Clouds,1011,272.85,55.94222222,100.0,0.0
32,21.15,79.1,2020-07-28 23:30:00+05:30,23.01,94,3.6,75,Thunderstorm,1007,307.73,1.81,2.828427125,0.0
33,32.28,75.65,2020-03-25 23:30:00+05:30,17.35,76,1.69,5,Clear,1013,331.11,50.45,24.18677324,0.0
34,18.8167,82.7167,2021-01-14 23:30:00+05:30,15.88,92,1.8,0,Clear,1014,894.17,24.01444444,26.41968963,0.0
