,riverdistance,forest,sealevel,temp,humidity,wind,cloud,weather,pressure,class
0,1.65,89.99778,571.91,21.05,95,5.18,100,Rain,1007,1
1,0,8.557778,4824.79,8.35,86,0.65,100,Rain,1010,1
2,5.5,86.16333,87.45,30.12,75,1.62,14,Clouds,1006,1
3,7,92.05667,3.4,27.02,74,1.67,4,Clear,1009,1
4,0.95,64.75111,59.32,30.32,79,2.52,98,Clouds,995,1
5,5.2,91.78889,151.44,26.13,81,3.48,100,Rain,1005,1
6,1.2,87.27222,7.27,26.69,89,1.39,56,Clouds,1008,1
7,4.2,88.82222,59.25,26.83,92,1.55,100,Clouds,1001,1
8,4,93.71111,154.51,23.35,94,1.79,100,Rain,1002,1
9,2.9,87.99556,185.62,26.05,92,5.03,100,Clouds,1000,1
10,5,19.82222,22.45,24.12,89,0,20,Smoke,1009,1
11,11,46.75556,699.66,22.76,87,5.35,100,Clouds,1008,1
12,2.5,80.31222,20.29,31.53,76,1.35,83,Rain,1000,1
13,30,91.42778,119.08,29.73,79,1.79,98,Rain,998,1
14,0,1.11,5554.87,-14.02,92,1.73,99,Snow,1008,1
15,8.5,59.31222,75.35,26.32,93,0.37,100,Rain,1002,1
16,0.65,68.05333,123.47,31.93,61,1.81,45,Clouds,999,1
17,40,72.70667,134.62,25.73,94,2.56,96,Rain,1002,1
18,1.7,0,153.1,29.35,83,2.83,96,Rain,1002,1
19,6.6,92.59222,65.59,20.6,94,1.11,26,Clouds,1013,1
20,0.2,57.91,271.95,23.7,87,0.43,98,Rain,1012,1
21,0.56,69.894,25.64,26.24,93,0.46,92,Clouds,1009,1
22,0.25,82.95889,6.56,25.07,92,1.05,32,Clouds,1013,1
23,1.5,55.15778,82.42,31.2,74,0.34,100,Clouds,1000,1
24,12,89.35778,324.15,26.16,80,6.14,49,Clouds,998,1
25,50,93.27,659.35,24.55,94,0.95,100,Rain,1000,1
26,0.1,78.88667,139.11,30.47,80,0.8,85,Clouds,1000,1
27,6.5,83.32778,203.34,34.79,29,2.71,0,Clear,1003,1
28,6.7,90.96556,44.38,26.12,95,1.96,66,Clouds,1008,1
29,19,0.906667,608.34,34.81,35,4.63,81,Clouds,1006,1
30,8,92.92333,89.65,27.49,89,0.42,99,Clouds,1004,1
31,4,84.08222,15.29,27.9,90,1.11,100,Rain,1001,1
32,8,89.6845,453.22,14.02,89,1.05,21,Clouds,1012,1
33,13.7,93.07778,373.23,17.17,97,1.31,97,Clouds,1016,1
34,3.3,84.597,11.82,23.33,92,2.56,90,Rain,1011,1
35,11.7,86.44889,170.57,27.83,82,1.67,25,Clouds,1003,1
36,8.35,93.02,1010.95,27.22,78,1.19,98,Rain,1012,1
37,6.1,30.90444,289.66,24.36,83,5.12,99,Clouds,1010,1
38,0.001,77.91,23.57,27.43,72,2.92,99,Clouds,1007,1
39,3.1,4.451111,326.77,36.89,39,0.96,57,Clouds,1006,1
40,5.75,91.39778,2007.48,16.66,95,0.31,100,Rain,1006,1
41,45,81.34556,135.57,28.9,86,1.54,100,Rain,996,1
42,0.12,89.07556,762.3,21.9,87,1.14,43,Clouds,1010,1
43,0.08,88.33889,1151.55,17.64,98,0.05,100,Rain,1007,1
44,3.3,91.12,300.76,40.93,23,1.79,26,Clouds,1000,1
45,22,91.95,1587.08,22.47,85,0.81,75,Clouds,1003,1
46,55,91.85222,468.04,31.79,46,2.06,44,Clouds,1005,1
47,12.5,28.12667,80.41,26.24,86,2.1,20,Drizzle,1009,1
48,42,82.10222,74.25,35.07,48,3.76,97,Clouds,1002,1
49,4.75,94.08111,438.33,22.42,54,0.89,20,Clouds,1012,1
50,12.1,86.41889,68.79,25.68,94,0.22,100,Rain,1004,1
51,7.8,16.71111,255.07,41.95,14,5.39,0,Clear,992,1
52,1.8,69.71111,2789.92,11.69,95,0.82,85,Rain,1010,1
53,6.6,87.13667,41.45,32.63,76,4.76,98,Clouds,998,1
54,6.2,83.79111,15.45,25.56,95,1.73,100,Rain,1011,1
55,8,97.61889,2765.99,14.73,97,0.3,100,Rain,1015,1
56,1.8,79.94333,118.11,26.06,93,2.64,99,Clouds,1006,1
57,20,97.00444,377.79,29.27,74,1.99,63,Clouds,1010,1
58,0.02,51.31,12,27.74,91,1.23,42,Clouds,1001,1
59,3.1,19.60333,256.84,34.67,44,5.16,100,Clouds,1001,1
60,16,86.85667,2119.54,18.31,95,1.23,100,Rain,1008,1
61,0.3,0,157.58,26.96,86,4.05,100,Clouds,1003,1
62,3.8,84.43667,110.17,26.83,90,1.85,100,Rain,1008,1
63,17,89.47556,73.56,28.34,81,1.76,74,Clouds,1002,1
64,9.3,89.73444,1674.21,22.88,53,0.5,20,Rain,1004,1
65,2.6,51.52444,768.84,23.15,91,5.38,100,Rain,1004,1
66,1,88.73333,4.95,26.24,96,0,75,Rain,1006,1
67,0.6,38.45556,340.62,24.35,78,5.56,100,Clouds,1003,1
68,30,87.68579,1.75,27.55,92,3.43,4,Clear,1008,1
69,14,1.295556,550.19,24.08,89,5.38,98,Clouds,1004,1
70,22,23.17556,188.01,33.67,38,4.13,39,Clouds,1003,1
71,5.8,88.35667,4.68,25.03,96,2.22,97,Clouds,1009,1
72,21,91.09111,126.87,16.88,99,1.23,68,Clouds,1016,1
73,0.05,28.04444,99.15,26.26,95,0.59,98,Rain,1004,1
74,0.9,31.29111,4248.99,9.92,74,0.71,18,Clouds,1015,1
75,2.8,98.65625,91.26,28.48,77,1.67,96,Clouds,1002,1
76,14.4,0,251.75,27.27,77,4.21,100,Clouds,1002,1
77,30,92.64111,128.86,28.64,88,1.29,99,Clouds,999,1
78,1.6,87.69542,199.67,38.11,36,3.97,63,Clouds,1001,1
79,4,88.60556,16.43,25.48,98,2.07,51,Clouds,1011,1
80,17,70.96889,735.84,20.8,93,0,20,Clouds,1010,1
