forest,sealevel,temp,humidity,wind,cloud,weather,pressure,class
89.99778,571.91,21.05,95,5.18,100,Rain,1007,1
8.557778,4824.79,8.35,86,0.65,100,Rain,1010,1
86.16333,87.45,30.12,75,1.62,14,Clouds,1006,1
92.05667,3.4,27.02,74,1.67,4,Clear,1009,1
64.75111,59.32,30.32,79,2.52,98,Clouds,995,1
91.78889,151.44,26.13,81,3.48,100,Rain,1005,1
87.27222,7.27,26.69,89,1.39,56,Clouds,1008,1
88.82222,59.25,26.83,92,1.55,100,Clouds,1001,1
93.71111,154.51,23.35,94,1.79,100,Rain,1002,1
87.99556,185.62,26.05,92,5.03,100,Clouds,1000,1
46.75556,699.66,22.76,87,5.35,100,Clouds,1008,1
80.31222,20.29,31.53,76,1.35,83,Rain,1000,1
91.42778,119.08,29.73,79,1.79,98,Rain,998,1
1.11,5554.87,-14.02,92,1.73,99,Snow,1008,1
59.31222,75.35,26.32,93,0.37,100,Rain,1002,1
68.05333,123.47,31.93,61,1.81,45,Clouds,999,1
72.70667,134.62,25.73,94,2.56,96,Rain,1002,1
92.59222,65.59,20.6,94,1.11,26,Clouds,1013,1
57.91,271.95,23.7,87,0.43,98,Rain,1012,1
69.894,25.64,26.24,93,0.46,92,Clouds,1009,1
82.95889,6.56,25.07,92,1.05,32,Clouds,1013,1
55.15778,82.42,31.2,74,0.34,100,Clouds,1000,1
89.35778,324.15,26.16,80,6.14,49,Clouds,998,1
93.27,659.35,24.55,94,0.95,100,Rain,1000,1
78.88667,139.11,30.47,80,0.8,85,Clouds,1000,1
90.96556,44.38,26.12,95,1.96,66,Clouds,1008,1
0.906667,608.34,34.81,35,4.63,81,Clouds,1006,1
92.92333,89.65,27.49,89,0.42,99,Clouds,1004,1
84.08222,15.29,27.9,90,1.11,100,Rain,1001,1
89.6845,453.22,14.02,89,1.05,21,Clouds,1012,1
93.07778,373.23,17.17,97,1.31,97,Clouds,1016,1
84.597,11.82,23.33,92,2.56,90,Rain,1011,1
86.44889,170.57,27.83,82,1.67,25,Clouds,1003,1
93.02,1010.95,27.22,78,1.19,98,Rain,1012,1
30.90444,289.66,24.36,83,5.12,99,Clouds,1010,1
77.91,23.57,27.43,72,2.92,99,Clouds,1007,1
4.451111,326.77,36.89,39,0.96,57,Clouds,1006,1
91.39778,2007.48,16.66,95,0.31,100,Rain,1006,1
81.34556,135.57,28.9,86,1.54,100,Rain,996,1
89.07556,762.3,21.9,87,1.14,43,Clouds,1010,1
88.33889,1151.55,17.64,98,0.05,100,Rain,1007,1
91.12,300.76,40.93,23,1.79,26,Clouds,1000,1
91.95,1587.08,22.47,85,0.81,75,Clouds,1003,1
91.85222,468.04,31.79,46,2.06,44,Clouds,1005,1
28.12667,80.41,26.24,86,2.1,20,Drizzle,1009,1
82.10222,74.25,35.07,48,3.76,97,Clouds,1002,1
94.08111,438.33,22.42,54,0.89,20,Clouds,1012,1
86.41889,68.79,25.68,94,0.22,100,Rain,1004,1
69.71111,2789.92,11.69,95,0.82,85,Rain,1010,1
87.13667,41.45,32.63,76,4.76,98,Clouds,998,1
83.79111,15.45,25.56,95,1.73,100,Rain,1011,1
97.61889,2765.99,14.73,97,0.3,100,Rain,1015,1
79.94333,118.11,26.06,93,2.64,99,Clouds,1006,1
97.00444,377.79,29.27,74,1.99,63,Clouds,1010,1
51.31,12,27.74,91,1.23,42,Clouds,1001,1
19.60333,256.84,34.67,44,5.16,100,Clouds,1001,1
