lat,long,temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
14.5398,75.0937,21.72,95,4.31,100,Clouds,1007,571.91,89.99777778,20.344,1
32.8353,76.9103,3.14,100,0.48,100,Rain,1017,4824.79,8.557777778,2.533,1
26.4816,82.8434,27.75,88,3.17,34,Clouds,1002,87.45,86.16333333,2.697,1
21.1495,86.7154,25.39,88,2.51,93,Clouds,1005,3.4,92.05666667,2.109,1
25.6339,84.0726,31.11,78,3.22,35,Clouds,998,59.32,64.75111111,1.768,1
17.4331,80.187,26.16,74,3.85,91,Clouds,1003,151.44,91.78888889,21.621,1
23.6547,89.4296,26.59,92,2.12,64,Clouds,1010,7.27,87.27222222,3.795,1
28.886,80.7246,21.94,96,0.67,100,Rain,1002,1344.64,97.68111111,2.385,1
26.5037,86.5429,27.51,91,3.58,100,Clouds,1002,71.95,90.96777778,2.908,1
30.9339,75.0459,27.32,86,1.78,2,Clear,1004,212.91,88.91777778,4.025,1
15.1816,76.4736,22.13,94,7.2,100,Rain,1005,699.66,46.75555556,14.573,1
24.8678,92.8291,25.9,94,1.04,100,Clouds,1004,20.29,80.31222222,2.165,1
26.4375,80.8611,27.13,93,1.23,59,Clouds,1004,119.08,91.42777778,0.697,1
33.8036,76.2592,-11.74,87,0.89,100,Snow,1017,5554.87,1.11,4.814,1
16.2843,80.6926,25.62,86,4.42,100,Rain,983,11.29,86.81666667,4.628,1
26.7553,92.7754,28.33,82,1.22,71,Clouds,1000,75.35,59.31222222,10.859,1
26.7055,78.8703,27.27,91,3.38,100,Rain,995,123.47,68.05333333,1.129,1
27.5435,80.6956,26.41,96,1.73,100,Rain,998,134.62,72.70666667,3.784,1
22.4257,71.3244,25,95,3.71,100,Rain,1001,153.1,0,6.713,1
26.0747,92.817,22.22,100,0.63,99,Rain,1010,65.59,92.59222222,2.217,1
11.3982,77.0504,21.26,99,0.78,99,Rain,1011,271.95,57.91,19.593,1
24.4696,92.4232,23.95,96,1.44,99,Clouds,1004,25.64,76.6542,5.426,1
15.733,73.7324,27.58,90,4.68,100,Rain,1003,6.56,82.95888889,3.151,1
26.6059,92.9592,25.55,93,1.51,98,Rain,1001,82.42,55.15777778,2.107,1
20.9474,79.1574,27.48,81,3.91,100,Rain,997,324.15,89.35777778,2.116,1
20.2047,84.4178,22.89,88,3.91,100,Rain,999,659.35,93.27,20.133,1
28.3671,81.0334,29.81,96,1,98,Clouds,1000,139.11,78.88666667,6.001,1
24.707,85.7348,27.28,89,2.23,93,Clouds,1006,203.34,83.32777778,2.179,1
24.3395,87.8328,26.3,95,0.7,94,Rain,1008,44.38,90.96555556,2.621,1
14.0025,79.4752,23.41,96,1.46,100,Rain,1015,240.61,84.56666667,4.344,1
16.5216,75.9695,24.79,87,5.64,40,Clouds,1007,608.34,0.906666667,7.841,1
26.9122,94.46,26.23,95,2.01,93,Clouds,1004,89.65,92.92333333,2.212,1
20.5033,86.0449,26.18,93,4.04,100,Rain,994,15.29,84.08222222,1.331,1
24.8678,80.7003,26.23,87,3.12,100,Clouds,1003,453.22,81.5791,2.172,1
13.0242,78.8487,25.57,67,0.29,37,Clouds,1009,373.23,93.07777778,5.465,1
24.9382,92.0974,24.06,95,1.38,100,Rain,1005,11.82,79.681645,22.435,1
25.1622,89.7567,28.02,89,2.88,28,Clouds,1002,17.97,61.51888889,2.962,1
27.9917,78.9675,26.1,87,2.18,97,Clouds,1004,170.57,86.44888889,4.867,1
13.407,75.4042,19.93,98,2.03,100,Clouds,1009,1010.95,93.02,6.27,1
11.054,77.5024,23.02,96,3.83,100,Rain,1007,289.66,30.90444444,2.173,1
12.5851,79.9572,24.01,89,9.15,100,Rain,1007,23.57,77.91,13.613,1
20.6258,76.6191,26.38,80,3.72,99,Clouds,1001,326.77,4.451111111,5.907,1
31.7869,77.252,18.83,96,0.79,100,Rain,1010,2007.48,91.39777778,5.081,1
27.586,80.6237,26.82,97,1.09,50,Clouds,1001,135.57,81.34555556,2.132,1
31.7821,76.9177,20.47,97,0.62,100,Rain,1007,762.3,89.07555556,2.552,1
31.7668,77.27,17.81,91,0.74,90,Rain,1010,1151.55,88.33888889,11.401,1
20.7866,79.2684,23.95,95,4.07,100,Rain,1003,300.76,91.12,5.8,1
31.5294,77.0555,20.8,90,0.85,64,Clouds,1006,1587.08,91.95,2.012,1
20.1358,84.4369,23.84,97,0.96,100,Rain,1002,468.04,91.85222222,1.527,1
10.7214,78.7248,23.83,97,1.01,100,Rain,1011,80.41,28.12666667,3.569,1
16.2498,80.0422,24.38,96,0.94,37,Clouds,1013,74.25,82.10222222,24.253,1
23.2582,92.8575,23.87,91,1.11,97,Clouds,1006,438.33,94.08111111,2.212,1
26.0363,92.8902,25.95,89,1.44,100,Rain,1003,68.79,86.41888889,2.37,1
28.2424,76.8263,27.24,89,1.37,19,Clouds,1000,255.07,16.71111111,2.767,1
27.5887,88.4616,14.96,92,0.34,98,Rain,1010,2789.92,69.71111111,2.188,1
22.4615,87.3749,26.14,94,4.51,100,Rain,1004,41.45,87.13666667,15.662,1
16.4132,80.612,25.6,93,2.21,87,Rain,1007,15.45,83.79111111,2.261,1
26.5766,73.762,32.51,49,2.22,4,Clear,1003,323.96,0,4.76,1
27.4105,92.3599,10.39,97,0.65,100,Rain,1012,2765.99,97.61888889,2.262,1
24.7685,85.6883,28.66,85,3.94,99,Clouds,1001,118.11,79.94333333,2.199,1
15.0341,78.7288,23.68,95,1.49,100,Clouds,1009,377.79,97.00444444,18.942,1
17.0009,81.7657,25.25,77,0.76,78,Clouds,1006,12,51.31,2.45,1
24.0572,86.2554,25.99,97,2.46,100,Rain,996,256.84,19.60333333,5.108,1
31.7905,77.3409,18.45,99,0.54,100,Rain,1009,2119.54,86.85666667,2.287,1
22.4404,71.3091,27.46,87,3.32,100,Clouds,1003,157.58,0,1.07,1
9.49041,76.6811,23.15,97,1.49,84,Clouds,1010,110.17,84.43666667,14.002,1
26.0909,92.9144,26.91,89,1.46,99,Clouds,1000,73.56,89.47555556,3.226,1
33.9398,74.8298,23.32,81,0.61,59,Clouds,1007,1673.76,89.73444444,2.315,1
18.8234,75.4418,23.45,84,4.37,100,Clouds,1009,768.84,51.52444444,0.702,1
16.9874,82.1012,27.39,91,2.11,42,Clouds,1010,4.95,88.73333333,2.746,1
13.8493,78.9883,21.74,94,1.3,22,Clouds,1015,340.62,38.45555556,20.194,1
24.0181,68.8677,31.36,68,5.66,73,Rain,999,1.75,65.697245,2.011,1
20.4037,74.4164,23.86,92,5.41,100,Rain,1003,550.19,1.295555556,0.814,1
16.1464,79.4042,26.13,94,0.91,93,Clouds,1008,188.01,23.17555556,3.918,1
23.3997,88.9474,25.83,95,3.34,100,Clouds,1009,4.68,88.35666667,6.086,1
21.1735,85.3527,26.34,79,3.52,94,Clouds,1003,126.87,91.09111111,9.391,1
