temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
21.72,95,4.31,100,Clouds,1007,571.91,89.99777778,20.344,1
3.14,100,0.48,100,Rain,1017,4824.79,8.557777778,2.533,1
27.75,88,3.17,34,Clouds,1002,87.45,86.16333333,2.697,1
25.39,88,2.51,93,Clouds,1005,3.4,92.05666667,2.109,1
31.11,78,3.22,35,Clouds,998,59.32,64.75111111,1.768,1
26.16,74,3.85,91,Clouds,1003,151.44,91.78888889,21.621,1
26.59,92,2.12,64,Clouds,1010,7.27,87.27222222,3.795,1
21.94,96,0.67,100,Rain,1002,1344.64,97.68111111,2.385,1
27.51,91,3.58,100,Clouds,1002,71.95,90.96777778,2.908,1
27.32,86,1.78,2,Clear,1004,212.91,88.91777778,4.025,1
22.13,94,7.2,100,Rain,1005,699.66,46.75555556,14.573,1
25.9,94,1.04,100,Clouds,1004,20.29,80.31222222,2.165,1
27.13,93,1.23,59,Clouds,1004,119.08,91.42777778,0.697,1
-11.74,87,0.89,100,Snow,1017,5554.87,1.11,4.814,1
25.62,86,4.42,100,Rain,983,11.29,86.81666667,4.628,1
28.33,82,1.22,71,Clouds,1000,75.35,59.31222222,10.859,1
27.27,91,3.38,100,Rain,995,123.47,68.05333333,1.129,1
26.41,96,1.73,100,Rain,998,134.62,72.70666667,3.784,1
25,95,3.71,100,Rain,1001,153.1,0,6.713,1
22.22,100,0.63,99,Rain,1010,65.59,92.59222222,2.217,1
21.26,99,0.78,99,Rain,1011,271.95,57.91,19.593,1
23.95,96,1.44,99,Clouds,1004,25.64,76.6542,5.426,1
27.58,90,4.68,100,Rain,1003,6.56,82.95888889,3.151,1
25.55,93,1.51,98,Rain,1001,82.42,55.15777778,2.107,1
27.48,81,3.91,100,Rain,997,324.15,89.35777778,2.116,1
22.89,88,3.91,100,Rain,999,659.35,93.27,20.133,1
29.81,96,1,98,Clouds,1000,139.11,78.88666667,6.001,1
27.28,89,2.23,93,Clouds,1006,203.34,83.32777778,2.179,1
26.3,95,0.7,94,Rain,1008,44.38,90.96555556,2.621,1
23.41,96,1.46,100,Rain,1015,240.61,84.56666667,4.344,1
24.79,87,5.64,40,Clouds,1007,608.34,0.906666667,7.841,1
26.23,95,2.01,93,Clouds,1004,89.65,92.92333333,2.212,1
26.18,93,4.04,100,Rain,994,15.29,84.08222222,1.331,1
26.23,87,3.12,100,Clouds,1003,453.22,81.5791,2.172,1
25.57,67,0.29,37,Clouds,1009,373.23,93.07777778,5.465,1
24.06,95,1.38,100,Rain,1005,11.82,79.681645,22.435,1
28.02,89,2.88,28,Clouds,1002,17.97,61.51888889,2.962,1
26.1,87,2.18,97,Clouds,1004,170.57,86.44888889,4.867,1
19.93,98,2.03,100,Clouds,1009,1010.95,93.02,6.27,1
23.02,96,3.83,100,Rain,1007,289.66,30.90444444,2.173,1
24.01,89,9.15,100,Rain,1007,23.57,77.91,13.613,1
26.38,80,3.72,99,Clouds,1001,326.77,4.451111111,5.907,1
18.83,96,0.79,100,Rain,1010,2007.48,91.39777778,5.081,1
26.82,97,1.09,50,Clouds,1001,135.57,81.34555556,2.132,1
20.47,97,0.62,100,Rain,1007,762.3,89.07555556,2.552,1
17.81,91,0.74,90,Rain,1010,1151.55,88.33888889,11.401,1
23.95,95,4.07,100,Rain,1003,300.76,91.12,5.8,1
20.8,90,0.85,64,Clouds,1006,1587.08,91.95,2.012,1
23.84,97,0.96,100,Rain,1002,468.04,91.85222222,1.527,1
23.83,97,1.01,100,Rain,1011,80.41,28.12666667,3.569,1
24.38,96,0.94,37,Clouds,1013,74.25,82.10222222,24.253,1
23.87,91,1.11,97,Clouds,1006,438.33,94.08111111,2.212,1
25.95,89,1.44,100,Rain,1003,68.79,86.41888889,2.37,1
27.24,89,1.37,19,Clouds,1000,255.07,16.71111111,2.767,1
14.96,92,0.34,98,Rain,1010,2789.92,69.71111111,2.188,1
26.14,94,4.51,100,Rain,1004,41.45,87.13666667,15.662,1
25.6,93,2.21,87,Rain,1007,15.45,83.79111111,2.261,1
32.51,49,2.22,4,Clear,1003,323.96,0,4.76,1
10.39,97,0.65,100,Rain,1012,2765.99,97.61888889,2.262,1
28.66,85,3.94,99,Clouds,1001,118.11,79.94333333,2.199,1
23.68,95,1.49,100,Clouds,1009,377.79,97.00444444,18.942,1
25.25,77,0.76,78,Clouds,1006,12,51.31,2.45,1
25.99,97,2.46,100,Rain,996,256.84,19.60333333,5.108,1
18.45,99,0.54,100,Rain,1009,2119.54,86.85666667,2.287,1
27.46,87,3.32,100,Clouds,1003,157.58,0,1.07,1
23.15,97,1.49,84,Clouds,1010,110.17,84.43666667,14.002,1
26.91,89,1.46,99,Clouds,1000,73.56,89.47555556,3.226,1
23.32,81,0.61,59,Clouds,1007,1673.76,89.73444444,2.315,1
23.45,84,4.37,100,Clouds,1009,768.84,51.52444444,0.702,1
27.39,91,2.11,42,Clouds,1010,4.95,88.73333333,2.746,1
21.74,94,1.3,22,Clouds,1015,340.62,38.45555556,20.194,1
31.36,68,5.66,73,Rain,999,1.75,65.697245,2.011,1
23.86,92,5.41,100,Rain,1003,550.19,1.295555556,0.814,1
26.13,94,0.91,93,Clouds,1008,188.01,23.17555556,3.918,1
25.83,95,3.34,100,Clouds,1009,4.68,88.35666667,6.086,1
26.34,79,3.52,94,Clouds,1003,126.87,91.09111111,9.391,1
25.57,98,2,100,Rain,1001,91.26,66.6544,1.802,1
23.47,97,2.09,100,Rain,1005,20.18,91.19,3.264,1
23.6,97,1.97,100,Rain,1010,-0.2,67.49222222,2.421,1
26.76,95,1.37,90,Clouds,1005,65.69,89.31777778,2.073,1
23.55,95,5.18,100,Rain,1014,103.03,81.55777778,16.23,1
25.96,89,1.21,99,Clouds,1002,124.81,82.67889,5.985,1
27.57,91,2.18,100,Rain,1001,2.86,73.29222222,6.226,1
23.2,99,5.03,100,Rain,1003,399.93,86.28777778,2.232,1
27.63,91,3.16,100,Clouds,998,35.96,60.91888889,2.219,1
20.8,97,0.81,100,Rain,1001,1954.28,80.61111111,24.506,1
26.1,95,2.33,100,Rain,1007,53.19,76.99666667,2.164,1
25.43,92,3.21,100,Rain,1010,35.12,80.19333333,2.063,1
24.7,94,3.03,100,Rain,1007,52.96,80.25555556,1.479,1
24.51,97,3.74,100,Rain,999,204.79,95.37111111,3.63,1
25.42,91,3.32,100,Clouds,1004,293.08,1.014444444,5.351,1
26.43,83,1.71,100,Clouds,1006,299.29,81.89666667,2.28,1
26.37,95,1.95,90,Clouds,1000,55.16,96.18333333,0.752,1
23.98,93,1.2,99,Rain,1011,137.7,88.16666667,5.588,1
27.73,92,2.97,99,Rain,995,42.75,38.88666667,3.186,1
23.14,98,5.9,100,Rain,1006,408.68,71.90333333,9.164,1
24.59,98,5.63,100,Rain,1008,17.75,90.42,1.049,1
0.68,96,0.54,74,Clouds,1014,2720.47,37.98444444,2.322,1
26.8,91,7.08,100,Rain,999,30.36,88.44333333,5.902,1
26.44,84,5.81,100,Clouds,995,11.98,91.13444444,2.158,1
24.97,95,6.82,100,Rain,996,395.33,80.2167,20.666,1
15.12,91,0.59,41,Clouds,1011,2903.48,84.96111111,2.27,1
22.99,95,1.76,100,Rain,1007,137.04,88.69,3.514,1
25.48,91,3.33,100,Rain,1003,113.7,85.57444444,2.249,1
26.05,93,2.67,100,Rain,992,20.31,84.42666667,1.072,1
28.7,81,1.86,42,Clouds,1003,76.61,91.51555556,21.133,1
24.87,92,3.94,100,Rain,1000,299.1,70.52444444,5.273,1
24.45,95,7.59,100,Rain,1003,161.25,87.83333333,2.242,1
26.27,96,2.11,100,Clouds,1004,138.62,28.99222222,2.268,1
25.3,92,4.33,100,Rain,1009,2.93,92.26333333,3.609,1
23.54,96,1.58,100,Rain,1011,838.58,93.45111111,8.584,1
26.04,89,2.03,96,Clouds,1010,5.34,80.22111111,2.415,1
24.92,84,5.74,94,Clouds,1000,581.53,45.00222222,1.751,1
26.3,91,3.62,99,Rain,1008,0,54.77555556,4.978,1
25.34,94,0.75,100,Rain,1001,90.98,91.47555556,6.145,1
29.95,77,3.86,95,Clouds,1002,59.78,61.78,22.727,1
25.67,88,4.45,100,Rain,992,208.13,92.99444444,1.403,1
26,83,3.6,90,Rain,999,8.87,8.378888889,5.691,1
27.83,86,5.07,100,Clouds,998,164.36,0,6.407,1
23.24,92,6.71,100,Rain,1005,629.56,61.03555556,2.472,1
26.23,92,1.61,100,Rain,1005,125.15,90.83666667,6.931,1
26.86,93,0.42,100,Rain,1002,114.91,92.43555556,5.909,1
26.3,89,1.62,8,Clear,1007,337.92,47.82111111,5.381,1
23.81,96,1.18,100,Clouds,1005,476.82,96.89111111,2.227,1
25.2,90,1.65,100,Rain,1014,9.2,80.81666667,1.143,1
12.16,85,2.88,100,Rain,1013,1765.59,95.07777778,9.803,1
24.78,92,2.06,99,Rain,1000,116.95,89.91666667,2.504,1
24.87,88,5.78,100,Rain,997,409.16,68.9785,2.115,1
23.22,98,6.69,100,Rain,996,629.48,22.03666667,1.321,1
25.25,93,6.61,100,Rain,994,307.25,92.01555556,1.754,1
28.84,86,7.13,100,Rain,996,-0.03,92.68452,24.458,1
26.98,95,0,40,Haze,998,4.34,61.28444444,2.079,1
27.15,94,1.47,100,Rain,999,110,69.34666667,1.323,1
25.73,94,1.68,100,Rain,1009,7.44,78.24333333,2.474,1
27.79,93,1.58,69,Clouds,1003,13,86.00777778,6.349,1
27.09,93,5.43,100,Rain,997,67.84,43.58333333,13.654,1
27.91,95,0.46,100,Rain,997,330.7,80.42333333,1.385,1
26.31,90,1.02,92,Rain,1004,57.64,87.77888889,1.954,1
25.45,93,5.84,100,Rain,997,13.73,91.44555556,3.166,1
20.07,96,0,40,Clouds,1012,780.6,51.92777778,2.307,1
24.21,95,2.42,100,Rain,1010,79.67,88.59444444,23.516,1
25.01,94,0,75,Clouds,1008,85.2,42.95111111,4.154,1
24.79,92,0.63,48,Rain,1006,593.96,94.05222222,3.532,1
22.66,93,1.21,100,Rain,1004,78.29,86.81666667,2.452,1
26.4,95,3.4,100,Rain,1000,51.64,89.22,0.725,1
12.91,97,0.85,100,Rain,1011,2254.64,91.97111111,16.212,1
25.23,91,4.95,100,Rain,1001,3.56,92.96222222,2.792,1
26.32,95,0.65,100,Clouds,1003,88.6,74.40666667,2.226,1
24.87,94,1.14,98,Clouds,1005,139.48,36.77666667,0.975,1
25.43,94,1.71,100,Rain,1004,199.61,94.66222222,4.361,1
22.95,95,6.04,99,Rain,1009,511.51,52.27555556,11.337,1
20.56,98,0.84,100,Rain,1003,1885.09,93.88111111,2.373,1
28.11,90,1.17,100,Rain,998,60.2,90.22666667,0.506,1
26.37,94,0.73,100,Rain,1004,138.82,90.19222222,2.624,1
26.25,90,2.41,99,Rain,1006,83.7,78.45777778,5.707,1
27.23,93,5.93,100,Rain,992,1.8,84.65845,7.864,1
26.99,78,3.24,71,Clouds,1009,319.74,50.85,0.906,1
26.01,80,1.4,96,Clouds,1011,320.63,6.758888889,5.189,1
20.43,91,1.78,99,Rain,1005,93.25,25.28888889,4.972,1
22.16,98,3.42,100,Rain,1009,52.6,91.38333333,2.111,1
23.14,92,2.43,100,Rain,1004,71.97,69.8751,23.277,1
29.87,82,2.69,100,Clouds,1005,141.73,19.02888889,2.946,1
28.69,77,2.13,14,Clouds,1002,203.85,89.14333333,3.329,1
27.2,94,2.07,100,Rain,1000,40.55,92.32222222,2.001,1
6.98,96,0.44,100,Rain,1016,3975.7,18.99222222,1.827,1
26.22,95,2.33,100,Rain,1003,267.33,19.31111111,13.04,1
27.64,76,2.42,96,Clouds,1006,71.99,87.67222222,6.737,1
26.5,95,1.43,99,Rain,1004,82.68,92.71333333,2.452,1
26.54,92,3.73,99,Rain,1003,81.65,91.98111111,0.785,1
26.34,94,4,100,Clouds,1005,35.11,94.15888889,3.956,1
25.54,93,1.64,16,Clouds,1012,112.61,43.71222222,22.196,1
25.55,92,2.71,99,Clouds,1009,530.7,90.36222222,2.067,1
25.87,95,5.38,100,Rain,995,73.6,74.565,1.6,1
25.9,97,2.62,100,Rain,999,45.05,90.29111111,5.969,1
26.09,95,0,90,Haze,1000,177.17,95.29777778,2.514,1
27.49,98,1.05,100,Rain,998,154.33,91.50555556,5.108,1
27.07,96,3.23,100,Rain,1002,2.21,92.18888889,1.268,1
25.79,95,4.18,100,Rain,1005,56.25,90.54333333,4.725,1
27.65,89,3.09,98,Rain,1006,71.34,90.09777778,3.46,1
25.1,94,2.53,100,Rain,1005,133.62,28.76333333,2.318,1
25.85,96,2.76,100,Rain,1003,36.2,94.54888889,13.168,1
24.89,92,2.39,88,Clouds,1000,59.51,78.95751,1.789,1
29.89,74,4.27,100,Clouds,996,47.46,71.46888889,3.345,1
22.35,95,0.37,100,Rain,1001,1351.23,89.04888889,2.407,1
22.86,95,5.33,100,Rain,1002,598.94,18.17111111,0.517,1
25.67,90,3.21,83,Clouds,1005,244.95,83.38777778,15.896,1
23.64,92,0.97,79,Rain,1003,1163.29,90.75777778,5.861,1
26.24,94,2.38,100,Rain,1005,74.09,79.68562,2.121,1
23.46,88,1.52,42,Clouds,1010,233.7,89.61,2.453,1
5.8,86,1.14,100,Rain,1012,4333.4,61.61111111,5.834,1
27.54,90,2.11,99,Rain,1001,250.05,90.28444444,13.418,1
29.81,87,0.95,100,Clouds,998,101.08,89.74444444,2.347,1
25.9,86,2.94,98,Clouds,1006,320.31,97.26111111,1.991,1
25.61,88,1.47,61,Clouds,1009,274.48,94.54666667,1.884,1
24.73,96,1.05,100,Rain,1002,814.95,92.32111111,4.181,1
24.85,92,3.88,100,Rain,999,120.25,84.03888889,20.449,1
27.84,93,0.84,64,Clouds,1001,136.01,80.41666667,0.52,1
26.77,96,1.92,100,Rain,999,48.64,90.55444444,3.666,1
24.75,96,0.71,100,Rain,1005,118.09,90.34555556,6.651,1
23.37,91,1.57,39,Clouds,1007,87.87,92.52888889,2.332,1
27.81,75,3.17,97,Clouds,1004,157.16,21.69984,5.67,1
23.3,95,0.92,99,Clouds,1014,291.49,85.85666667,5.657,1
-15.67,48,1.3,100,Clouds,1028,4376.91,58.05444444,6.556,1
26.18,93,2.06,100,Clouds,1007,50.79,80.85666667,2.162,1
23.84,96,1.21,90,Rain,1006,79.93,83.16444444,2.2,1
