,lat,long,startdate,temp,humidity,wind,cloud,weather
0,14.5398,75.0937,23-06-1985,,,,,
1,32.8353,76.9103,18-07-1985,,,,,
2,26.4816,82.8434,13-09-1985,,,,,
3,21.1495,86.7154,18-10-1985,,,,,
4,25.6339,84.0726,15-06-1986,,,,,
5,17.4331,80.187,15-08-1986,,,,,
6,23.6547,89.4296,22-09-1986,,,,,
7,26.4813,92.0622,23-05-1988,,,,,
8,26.988,92.926,21-06-1988,,,,,
9,22.0189,71.1117,14-07-1988,,,,,
10,19.1131,72.8962,10-03-1988,,,,,
11,15.1816,76.4736,22-07-1989,,,,,
12,24.8678,92.8291,07-05-1989,,,,,
13,26.4375,80.8611,09-03-1989,,,,,
14,33.8036,76.2592,21-03-1990,,,,,
15,26.7553,92.7754,13-06-1990,,,,,
16,26.7055,78.8703,07-03-1990,,,,,
17,27.5435,80.6956,13-08-1990,,,,,
18,22.4257,71.3244,19-08-1990,,,,,
19,26.0747,92.817,17-10-1990,,,,,
20,11.3982,77.0504,24-10-1990,,,,,
21,24.4696,92.4232,05-07-1991,,,,,
22,15.733,73.7324,06-10-1991,,,,,
23,26.6059,92.9592,13-07-1991,,,,,
24,20.9474,79.1574,29-07-1991,,,,,
25,20.2047,84.4178,14-08-1991,,,,,
26,28.3671,81.0334,15-08-1991,,,,,
27,24.707,85.7348,09-01-1991,,,,,
28,24.3395,87.8328,14-09-1991,,,,,
29,16.5216,75.9695,15-06-1992,,,,,
30,26.9122,94.46,07-10-1992,,,,,
31,20.5033,86.0449,26-07-1992,,,,,
32,24.8678,80.7003,08-01-1992,,,,,
33,13.0242,78.8487,09-12-1992,,,,,
34,24.9382,92.0974,06-04-1993,,,,,
35,27.9917,78.9675,09-09-1993,,,,,
36,13.407,75.4042,10-11-1993,,,,,
37,11.054,77.5024,12-04-1993,,,,,
38,12.5851,79.9572,12-04-1993,,,,,
39,20.6258,76.6191,07-01-1994,,,,,
40,31.7869,77.252,07-03-1994,,,,,
41,27.586,80.6237,08-04-1994,,,,,
42,31.7821,76.9177,08-08-1994,,,,,
43,31.7668,77.27,20-08-1994,,,,,
44,20.7866,79.2684,26-08-1994,,,,,
45,31.5294,77.0555,31-08-1994,,,,,
46,20.1358,84.4369,09-02-1994,,,,,
47,10.7214,78.7248,27-10-1994,,,,,
48,16.2498,80.0422,30-10-1994,,,,,
49,23.2582,92.8575,06-02-1995,,,,,
50,26.0363,92.8902,20-06-1995,,,,,
51,28.2424,76.8263,09-01-1995,,,,,
52,27.5887,88.4616,09-05-1995,,,,,
53,22.4615,87.3749,26-09-1995,,,,,
54,16.4132,80.612,20-10-1995,,,,,
55,27.4105,92.3599,07-10-1996,,,,,
56,24.7685,85.6883,17-07-1996,,,,,
57,15.0341,78.7288,21-10-1996,,,,,
58,17.0009,81.7657,11-06-1996,,,,,
59,24.0572,86.2554,08-01-1997,,,,,
60,31.7905,77.3409,08-08-1997,,,,,
61,22.4404,71.3091,22-06-1997,,,,,
62,9.49041,76.6811,07-05-1997,,,,,
63,26.0909,92.9144,07-05-1997,,,,,
64,33.9398,74.8298,22-08-1997,,,,,
65,18.8234,75.4418,19-08-1997,,,,,
66,16.9874,82.1012,19-09-1997,,,,,
67,13.8493,78.9883,12-04-1997,,,,,
68,24.0181,68.8677,06-09-1998,,,,,
69,20.4037,74.4164,16-09-1998,,,,,
70,16.1464,79.4042,10-01-1998,,,,,
71,23.3997,88.9474,24-09-1999,,,,,
72,21.1735,85.3527,29-10-1999,,,,,
73,27.4268,94.7981,06-10-2000,,,,,
74,31.806,77.6925,31-07-2000,,,,,
75,27.094,94.643,08-02-2000,,,,,
76,17.1335,79.2098,23-08-2000,,,,,
77,26.9607,80.4678,29-08-2000,,,,,
78,19.9343,80.0385,30-08-2000,,,,,
79,24.0841,88.5453,18-09-2000,,,,,
80,15.811,74.5207,17-07-2000,,,,,
81,24.4457,92.0058,06-05-2001,,,,,
82,22.8284,71.2868,20-06-2001,,,,,
83,9.72651,76.423,07-04-2001,,,,,
84,21.0559,84.7987,07-08-2001,,,,,
85,30.7738,79.8583,16-07-2001,,,,,
86,32.6061,76.1481,14-08-2001,,,,,
87,26.7556,83.0513,20-08-2001,,,,,
88,26.5321,84.87,09-07-2001,,,,,
89,16.746,79.1214,30-09-2001,,,,,
90,14.8405,79.054,16-10-2001,,,,,
91,10.4517,78.7843,02-02-2002,,,,,
92,20.0539,81.8601,30-06-2007,,,,,
93,21.0263,77.5237,07-01-2007,,,,,
94,22.0231,72.2495,07-01-2007,,,,,
95,22.6315,88.4871,07-03-2007,,,,,
96,10.3906,76.3115,16-07-2007,,,,,
97,20.4525,86.1978,08-03-2007,,,,,
98,22.6824,70.925,08-08-2007,,,,,
99,25.2411,90.1201,07-05-2008,,,,,
100,27.4995,89.7871,20-07-2008,,,,,
101,16.6523,81.3801,08-05-2008,34.51,58,2.63,8,Clear
102,27.481,93.8215,07-03-2009,15.95,92,0.75,90,Rain
103,26.5,85.5,08-01-2009,20.14,77,1.77,95,Clouds
104,27.629,80.7483,15-08-2009,27.77,92,3.99,100,Rain
105,26.8177,94.143,18-08-2009,28.22,84,1.19,99,Clouds
106,22.5263,88.0605,09-06-2009,30.93,79,4.75,15,Clouds
107,15.7081,78.233,25-09-2009,31.53,67,1.47,100,Rain
108,11.4729,77.8452,11-03-2009,30.91,57,2.83,59,Clouds
109,27.2504,94.6126,24-03-2010,22.08,88,1.98,52,Rain
110,26.3166,91.8623,18-04-2010,24.12,92,0.86,90,Rain
111,26.6381,93.1226,15-05-2010,27.48,80,2.1,52,Rain
112,15.2182,79.4844,18-05-2010,33.4,57,4.05,100,Clouds
113,30.1895,74.7785,07-05-2010,31.07,56,0.33,37,Clouds
114,33.5267,76.1256,08-06-2010,1.56,89,0.13,83,Rain
115,25.965,76.05,09-05-2010,41.22,13,3.69,0,Clear
116,16.29,80.055,09-01-2010,25.51,67,2.33,100,Clouds
117,26.235,92.25,09-05-2010,27.31,83,0.69,47,Rain
118,26.73,82.845,18-09-2010,28.1,87,4.03,94,Rain
119,25.695,87.75,18-09-2010,27.1,90,4.11,100,Rain
120,10.8365,76.7588,06-01-2011,28.04,56,2.03,81,Clouds
121,20.7933,85.8723,18-06-2011,28.98,84,4.56,100,Rain
122,26.0844,86.1969,07-01-2011,15.96,81,2.69,0,Clear
123,27.3624,94.0349,07-01-2011,16.89,76,0,1,Haze
124,28.5244,80.9261,23-07-2011,28.95,89,1.49,63,Clouds
125,26.5659,92.4354,06-06-2012,29.2,79,1.07,35,Clouds
126,26.1094,86.557,07-04-2012,29.67,54,3.26,34,Clouds
127,30.1135,78.8529,08-04-2012,24.37,38,1.78,69,Clouds
